date,cpi_index,pct_change_mom,pct_change_yoy
1988-01-01,50.3,,
1988-02-01,50.4,0.19880715705766772,
1988-03-01,50.6,0.3968253968253954,
1988-04-01,51.0,0.7905138339920903,
1988-05-01,51.1,0.19607843137254832,
1988-06-01,51.4,0.5870841487279899,
1988-07-01,51.7,0.5836575875486361,
1988-08-01,51.9,0.3868471953578201,
1988-09-01,52.1,0.3853564547206201,
1988-10-01,52.2,0.19193857965451588,
1988-11-01,52.7,0.9578544061302763,
1988-12-01,52.8,0.1897533206830948,
1989-01-01,53.3,0.9469696969697017,5.964214711729632
1989-02-01,53.6,0.5628517823639934,6.349206349206349
1989-03-01,53.9,0.5597014925373012,6.521739130434767
1989-04-01,54.5,1.1131725417439675,6.8627450980392135
1989-05-01,54.8,0.5504587155963359,7.240704500978468
1989-06-01,54.9,0.18248175182482562,6.809338521400776
1989-07-01,55.3,0.7285974499089187,6.9632495164409836
1989-08-01,55.5,0.3616636528029016,6.936416184971095
1989-09-01,55.6,0.18018018018017834,6.717850287907878
1989-10-01,56.1,0.8992805755395628,7.471264367816088
1989-11-01,56.4,0.5347593582887722,7.0208728652751295
1989-12-01,56.9,0.8865248226950451,7.765151515151514
1990-01-01,57.3,0.7029876977152849,7.504690431519689
1990-02-01,57.8,0.8726003490401313,7.835820895522372
1990-03-01,58.3,0.865051903114189,8.163265306122437
1990-04-01,58.6,0.5145797598627766,7.522935779816509
1990-05-01,58.9,0.5119453924914641,7.481751824817517
1990-06-01,59.1,0.339558573853993,7.650273224043724
1990-07-01,59.3,0.33840947546530664,7.233273056057876
1990-08-01,59.9,1.0118043844856706,7.927927927927936
1990-09-01,60.5,1.001669449081799,8.812949640287759
1990-10-01,60.9,0.6611570247933907,8.55614973262031
1990-11-01,61.3,0.6568144499178974,8.687943262411334
1990-12-01,61.6,0.4893964110930016,8.260105448154654
1991-01-01,61.6,0.0,7.504363001745218
1991-02-01,62.3,1.1363636363636243,7.785467128027679
1991-03-01,62.6,0.48154093097914075,7.375643224699835
1991-04-01,64.2,2.5559105431310014,9.55631399317407
1991-05-01,64.6,0.6230529595015355,9.677419354838701
1991-06-01,64.9,0.46439628482974893,9.813874788494093
1991-07-01,65.2,0.46224961479197635,9.94940978077572
1991-08-01,65.6,0.6134969325153339,9.515859766277114
1991-09-01,65.4,-0.30487804878046587,8.099173553719009
1991-10-01,65.9,0.7645259938837912,8.21018062397374
1991-11-01,66.0,0.15174506828528056,7.667210440456773
1991-12-01,66.0,0.0,7.14285714285714
1992-01-01,66.3,0.4545454545454408,7.629870129870131
1992-02-01,66.6,0.4524886877828038,6.90208667736758
1992-03-01,66.8,0.30030030030030463,6.709265175718837
1992-04-01,67.3,0.7485029940119681,4.8286604361370555
1992-05-01,68.0,1.0401188707280795,5.2631578947368585
1992-06-01,68.1,0.14705882352941124,4.930662557781185
1992-07-01,68.5,0.5873715124816492,5.061349693251538
1992-08-01,68.4,-0.14598540145984717,4.268292682926855
1992-09-01,68.7,0.43859649122806044,5.045871559633031
1992-10-01,68.7,0.0,4.248861911987856
1992-11-01,69.0,0.4366812227074135,4.545454545454541
1992-12-01,68.8,-0.28985507246377384,4.2424242424242475
1993-01-01,69.2,0.5813953488372103,4.3740573152337925
1993-02-01,69.5,0.43352601156068094,4.354354354354362
1993-03-01,69.9,0.575539568345329,4.640718562874269
1993-04-01,70.1,0.28612303290413976,4.160475482912318
1993-05-01,70.0,-0.14265335235377208,2.941176470588225
1993-06-01,70.0,0.0,2.7900146842878115
1993-07-01,70.4,0.5714285714285783,2.7737226277372296
1993-08-01,70.8,0.5681818181818121,3.50877192982455
1993-09-01,71.1,0.4237288135593209,3.4934497816593746
1993-10-01,71.0,-0.14064697609000865,3.3478893740902516
1993-11-01,71.1,0.14084507042253502,3.0434782608695476
1993-12-01,70.5,-0.8438818565400741,2.470930232558133
1994-01-01,70.6,0.14184397163119478,2.023121387283222
1994-02-01,71.1,0.7082152974504208,2.302158273381294
1994-03-01,71.1,0.0,1.716738197424883
1994-04-01,70.9,-0.2812939521800173,1.1412268188302654
1994-05-01,71.1,0.282087447108581,1.571428571428557
1994-06-01,71.3,0.2812939521800395,1.857142857142846
1994-07-01,71.3,0.0,1.2784090909090828
1994-08-01,71.7,0.5610098176718203,1.271186440677985
1994-09-01,71.6,-0.1394700139470184,0.7032348804500765
1994-10-01,72.1,0.6983240223463749,1.5492957746478853
1994-11-01,72.7,0.8321775312066793,2.250351617440227
1994-12-01,72.8,0.13755158184318717,3.262411347517724
1995-01-01,73.0,0.27472527472527375,3.3994334277620553
1995-02-01,73.1,0.1369863013698458,2.812939521800284
1995-03-01,73.6,0.6839945280437743,3.5161744022503605
1995-04-01,74.0,0.5434782608695787,4.37235543018335
1995-05-01,74.9,1.216216216216215,5.344585091420551
1995-06-01,75.1,0.26702269692922,5.329593267882182
1995-07-01,75.2,0.13315579227697327,5.4698457223001595
1995-08-01,75.6,0.5319148936170137,5.439330543933041
1995-09-01,76.0,0.5291005291005346,6.145251396648055
1995-10-01,76.2,0.263157894736854,5.686546463245512
1995-11-01,76.5,0.3937007874015741,5.226960110041268
1995-12-01,76.4,-0.13071895424835445,4.94505494505495
1996-01-01,75.6,-1.0471204188481797,3.561643835616435
1996-02-01,76.6,1.3227513227513255,4.78796169630642
1996-03-01,76.7,0.13054830287206887,4.211956521739135
1996-04-01,77.3,0.7822685788787309,4.459459459459447
1996-05-01,77.5,0.2587322121604174,3.471295060080104
1996-06-01,77.4,-0.1290322580645098,3.0625832223701854
1996-07-01,77.8,0.5167958656330685,3.4574468085106336
1996-08-01,77.4,-0.5141388174807138,2.3809523809523947
1996-09-01,77.9,0.6459948320413522,2.5000000000000133
1996-10-01,78.5,0.7702182284980763,3.0183727034120755
1996-11-01,78.9,0.5095541401273884,3.1372549019607954
1996-12-01,79.2,0.3802281368821214,3.6649214659685736
1997-01-01,79.2,0.0,4.761904761904767
1997-02-01,79.3,0.12626262626262985,3.524804177545704
1997-03-01,79.7,0.5044136191677318,3.9113428943937434
1997-04-01,80.2,0.6273525721455453,3.751617076326008
1997-05-01,80.3,0.12468827930174342,3.612903225806452
1997-06-01,80.3,0.0,3.746770025839785
1997-07-01,80.6,0.37359900373599153,3.5989717223650297
1997-08-01,80.7,0.12406947890819531,4.263565891472854
1997-09-01,80.9,0.24783147459728205,3.8510911424903815
1997-10-01,81.1,0.24721878862792313,3.3121019108280247
1997-11-01,81.6,0.6165228113440113,3.4220532319391594
1997-12-01,81.7,0.1225490196078427,3.1565656565656575
1998-01-01,81.9,0.2447980416156792,3.409090909090917
1998-02-01,83.0,1.3431013431013383,4.6658259773013855
1998-03-01,83.2,0.24096385542169418,4.391468005018817
1998-04-01,83.4,0.24038461538462563,3.990024937655856
1998-05-01,83.8,0.47961630695443347,4.358655043586546
1998-06-01,84.3,0.5966587112171906,4.981320049813198
1998-07-01,84.6,0.3558718861209842,4.962779156327546
1998-08-01,85.0,0.47281323877068626,5.3283767038413865
1998-09-01,85.1,0.11764705882353343,5.19159456118663
1998-10-01,85.4,0.3525264394829808,5.302096177558591
1998-11-01,85.3,-0.11709601873537423,4.534313725490202
1998-12-01,85.7,0.4689331770222793,4.89596083231334
1999-01-01,86.0,0.3500583430571691,5.006105006104988
1999-02-01,86.2,0.23255813953488857,3.855421686746996
1999-03-01,85.8,-0.46403712296984034,3.125
1999-04-01,86.3,0.5827505827505908,3.477218225419665
1999-05-01,86.3,0.0,2.9832935560859086
1999-06-01,86.7,0.4634994206257348,2.8469750889679846
1999-07-01,86.8,0.11534025374855261,2.6004728132387633
1999-08-01,87.0,0.23041474654377225,2.35294117647058
1999-09-01,86.8,-0.22988505747126853,1.9976498237367801
1999-10-01,86.4,-0.4608294930875445,1.1709601873536313
1999-11-01,86.3,-0.11574074074075513,1.172332942555676
1999-12-01,86.1,-0.2317497103128674,0.4667444574095514
2000-01-01,85.6,-0.5807200929152101,-0.46511627906977715
2000-02-01,84.6,-1.1682242990654235,-1.8561484918793614
2000-03-01,84.7,0.11820330969267712,-1.2820512820512775
2000-04-01,84.6,-0.11806375442739991,-1.969872537659334
2000-05-01,85.1,0.5910165484633634,-1.390498261877171
2000-06-01,84.6,-0.5875440658049347,-2.422145328719738
2000-07-01,85.4,0.9456264775413947,-1.612903225806439
2000-08-01,85.7,0.3512880562060783,-1.4942528735632177
2000-09-01,85.5,-0.2333722287047868,-1.497695852534564
2000-10-01,85.6,0.11695906432747094,-0.9259259259259411
2000-11-01,85.6,0.0,-0.8111239860950192
2000-12-01,85.6,0.0,-0.5807200929152101
2001-01-01,85.8,0.23364485981309802,0.23364485981309802
2001-02-01,86.0,0.2331002331002363,1.654846335697413
2001-03-01,86.2,0.23255813953488857,1.7709563164108655
2001-04-01,86.1,-0.11600928074246841,1.773049645390068
2001-05-01,86.7,0.6968641114982743,1.8801410105758087
2001-06-01,87.0,0.34602076124568004,2.8368794326241176
2001-07-01,86.3,-0.8045977011494232,1.053864168618257
2001-08-01,86.3,0.0,0.7001166861143382
2001-09-01,86.7,0.4634994206257348,1.403508771929829
2001-10-01,86.8,0.11534025374855261,1.4018691588784993
2001-11-01,86.4,-0.4608294930875445,0.9345794392523477
2001-12-01,86.5,0.11574074074074403,1.0514018691588856
2002-01-01,86.9,0.46242774566473965,1.2820512820512997
2002-02-01,86.5,-0.4602991944764212,0.5813953488372103
2002-03-01,86.4,-0.11560693641617936,0.23201856148491462
2002-04-01,86.3,-0.11574074074075513,0.23228803716608404
2002-05-01,86.5,0.2317497103128563,-0.23068050749711633
2002-06-01,85.9,-0.6936416184970984,-1.2643678160919491
2002-07-01,85.9,0.0,-0.4634994206257126
2002-08-01,85.8,-0.11641443538999985,-0.5793742757821518
2002-09-01,86.0,0.2331002331002363,-0.8073817762399127
2002-10-01,86.3,0.34883720930232176,-0.5760368663594417
2002-11-01,86.0,-0.34762456546928444,-0.462962962962965
2002-12-01,86.2,0.23255813953488857,-0.3468208092485492
2003-01-01,86.2,0.0,-0.8055235903337232
2003-02-01,86.7,0.5800464037122977,0.23121387283238093
2003-03-01,86.7,0.0,0.3472222222222099
2003-04-01,86.7,0.0,0.4634994206257348
2003-05-01,86.2,-0.5767012687427964,-0.3468208092485492
2003-06-01,85.8,-0.46403712296984034,-0.11641443538999985
2003-07-01,85.5,-0.34965034965034336,-0.465657741559955
2003-08-01,86.3,0.9356725146198785,0.5827505827505908
2003-09-01,86.4,0.11587485515645035,0.46511627906977715
2003-10-01,86.7,0.3472222222222099,0.4634994206257348
2003-11-01,86.6,-0.11534025374856371,0.6976744186046435
2003-12-01,86.2,-0.4618937644341736,0.0
2004-01-01,85.8,-0.46403712296984034,-0.46403712296984034
2004-02-01,86.4,0.6993006993007089,-0.34602076124566894
2004-03-01,86.2,-0.23148148148148806,-0.5767012687427964
2004-04-01,86.1,-0.11600928074246841,-0.6920415224913601
2004-05-01,85.9,-0.23228803716607294,-0.34802784222737193
2004-06-01,85.6,-0.34924330616997734,-0.2331002331002363
2004-07-01,85.4,-0.2336448598130758,-0.11695906432748204
2004-08-01,85.5,0.11709601873535203,-0.9269988412514474
2004-09-01,85.6,0.11695906432747094,-0.9259259259259411
2004-10-01,86.3,0.8177570093457875,-0.46136101499424376
2004-11-01,86.1,-0.2317497103128674,-0.5773672055427226
2004-12-01,86.3,0.23228803716608404,0.11600928074244621
2005-01-01,86.4,0.11587485515645035,0.6993006993007089
2005-02-01,86.7,0.3472222222222099,0.3472222222222099
2005-03-01,87.0,0.34602076124568004,0.9280742459396807
2005-04-01,86.5,-0.5747126436781658,0.4645760743321681
2005-05-01,86.7,0.23121387283238093,0.93131548311991
2005-06-01,86.4,-0.34602076124566894,0.9345794392523477
2005-07-01,86.1,-0.3472222222222321,0.8196721311475308
